id,bpm,timestamp,human_readable
58,80.0,1617462806,04/03/2021 11:13:26
59,81.0,1617462811,04/03/2021 11:13:31
60,82.0,1617462814,04/03/2021 11:13:34
61,82.0,1617462815,04/03/2021 11:13:35
62,83.0,1617462816,04/03/2021 11:13:36
63,83.0,1617462818,04/03/2021 11:13:38
64,84.0,1617462822,04/03/2021 11:13:42
65,84.0,1617462825,04/03/2021 11:13:45
66,83.0,1617462828,04/03/2021 11:13:48
67,83.0,1617462829,04/03/2021 11:13:49
68,81.0,1617462832,04/03/2021 11:13:52
69,82.0,1617462835,04/03/2021 11:13:55
70,81.0,1617462843,04/03/2021 11:14:03
71,79.0,1617462846,04/03/2021 11:14:06
72,78.0,1617462847,04/03/2021 11:14:07
73,77.0,1617462849,04/03/2021 11:14:09
74,78.0,1617462855,04/03/2021 11:14:15
75,79.0,1617462859,04/03/2021 11:14:19
76,80.0,1617462865,04/03/2021 11:14:25
77,79.0,1617462871,04/03/2021 11:14:31
78,80.0,1617462876,04/03/2021 11:14:36
79,81.0,1617462877,04/03/2021 11:14:37
80,81.0,1617462879,04/03/2021 11:14:39
81,81.0,1617462885,04/03/2021 11:14:45
82,79.0,1617462888,04/03/2021 11:14:48
83,80.0,1617462893,04/03/2021 11:14:53
84,81.0,1617462894,04/03/2021 11:14:54
85,81.0,1617462896,04/03/2021 11:14:56
86,81.0,1617462898,04/03/2021 11:14:58
87,81.0,1617462899,04/03/2021 11:14:59
88,81.0,1617462902,04/03/2021 11:15:02
89,80.0,1617462905,04/03/2021 11:15:05
90,79.0,1617462909,04/03/2021 11:15:09
91,78.0,1617462909,04/03/2021 11:15:09
92,78.0,1617462911,04/03/2021 11:15:11
93,79.0,1617462916,04/03/2021 11:15:16
94,79.0,1617462917,04/03/2021 11:15:17
95,78.0,1617462920,04/03/2021 11:15:20
96,77.0,1617462921,04/03/2021 11:15:21
97,77.0,1617462922,04/03/2021 11:15:22
98,78.0,1617462929,04/03/2021 11:15:29
99,77.0,1617462929,04/03/2021 11:15:29
100,78.0,1617462934,04/03/2021 11:15:34
101,79.0,1617462937,04/03/2021 11:15:37
102,79.0,1617462938,04/03/2021 11:15:38
103,80.0,1617462941,04/03/2021 11:15:41
104,80.0,1617462943,04/03/2021 11:15:43
105,81.0,1617462945,04/03/2021 11:15:45
106,83.0,1617462946,04/03/2021 11:15:46
107,85.0,1617462947,04/03/2021 11:15:47
108,85.0,1617462950,04/03/2021 11:15:50
109,84.0,1617462952,04/03/2021 11:15:52
110,83.0,1617462956,04/03/2021 11:15:56
111,82.0,1617462957,04/03/2021 11:15:57
112,81.0,1617462958,04/03/2021 11:15:58
113,80.0,1617462960,04/03/2021 11:16:00
114,80.0,1617462962,04/03/2021 11:16:02
115,81.0,1617462966,04/03/2021 11:16:06
116,82.0,1617462969,04/03/2021 11:16:09
117,81.0,1617462975,04/03/2021 11:16:15
118,82.0,1617462976,04/03/2021 11:16:16
119,81.0,1617462980,04/03/2021 11:16:20
120,82.0,1617462981,04/03/2021 11:16:21
121,81.0,1617462982,04/03/2021 11:16:22
122,82.0,1617462984,04/03/2021 11:16:24
123,82.0,1617462990,04/03/2021 11:16:30
124,82.0,1617462991,04/03/2021 11:16:31
125,81.0,1617462993,04/03/2021 11:16:33
126,81.0,1617462996,04/03/2021 11:16:36
127,81.0,1617462997,04/03/2021 11:16:37
128,82.0,1617462999,04/03/2021 11:16:39
129,83.0,1617462999,04/03/2021 11:16:39
130,83.0,1617463001,04/03/2021 11:16:41
131,84.0,1617463002,04/03/2021 11:16:42
132,85.0,1617463003,04/03/2021 11:16:43
133,85.0,1617463007,04/03/2021 11:16:47
134,86.0,1617463008,04/03/2021 11:16:48
135,87.0,1617463009,04/03/2021 11:16:49
136,87.0,1617463010,04/03/2021 11:16:50
137,86.0,1617463011,04/03/2021 11:16:51
138,85.0,1617463013,04/03/2021 11:16:53
139,85.0,1617463014,04/03/2021 11:16:54
140,84.0,1617463015,04/03/2021 11:16:55
141,83.0,1617463016,04/03/2021 11:16:56
142,83.0,1617463017,04/03/2021 11:16:57
143,83.0,1617463019,04/03/2021 11:16:59
144,85.0,1617463022,04/03/2021 11:17:02
145,84.0,1617463026,04/03/2021 11:17:06
146,83.0,1617463027,04/03/2021 11:17:07
147,82.0,1617463031,04/03/2021 11:17:11
148,81.0,1617463034,04/03/2021 11:17:14
149,80.0,1617463038,04/03/2021 11:17:18
150,78.0,1617463039,04/03/2021 11:17:19
151,78.0,1617463043,04/03/2021 11:17:23
152,78.0,1617463044,04/03/2021 11:17:24
153,79.0,1617463048,04/03/2021 11:17:28
154,80.0,1617463049,04/03/2021 11:17:29
155,79.0,1617463050,04/03/2021 11:17:30
156,79.0,1617463060,04/03/2021 11:17:40
157,80.0,1617463062,04/03/2021 11:17:42
158,81.0,1617463064,04/03/2021 11:17:44
159,81.0,1617463066,04/03/2021 11:17:46
160,81.0,1617463067,04/03/2021 11:17:47
161,81.0,1617463068,04/03/2021 11:17:48
162,80.0,1617463069,04/03/2021 11:17:49
163,81.0,1617463070,04/03/2021 11:17:50
164,82.0,1617463072,04/03/2021 11:17:52
165,80.0,1617463074,04/03/2021 11:17:54
166,79.0,1617463075,04/03/2021 11:17:55
167,79.0,1617463076,04/03/2021 11:17:56
168,78.0,1617463077,04/03/2021 11:17:57
169,78.0,1617463081,04/03/2021 11:18:01
170,79.0,1617463084,04/03/2021 11:18:04
171,80.0,1617463086,04/03/2021 11:18:06
172,81.0,1617463087,04/03/2021 11:18:07
173,82.0,1617463089,04/03/2021 11:18:09
174,83.0,1617463090,04/03/2021 11:18:10
175,83.0,1617463091,04/03/2021 11:18:11
176,82.0,1617463093,04/03/2021 11:18:13
177,83.0,1617463097,04/03/2021 11:18:17
178,84.0,1617463099,04/03/2021 11:18:19
179,83.0,1617463101,04/03/2021 11:18:21
180,84.0,1617463102,04/03/2021 11:18:22
181,83.0,1617463103,04/03/2021 11:18:23
182,83.0,1617463104,04/03/2021 11:18:24
183,82.0,1617463108,04/03/2021 11:18:28
184,82.0,1617463109,04/03/2021 11:18:29
185,81.0,1617463111,04/03/2021 11:18:31
186,82.0,1617463113,04/03/2021 11:18:33
187,81.0,1617463113,04/03/2021 11:18:33
188,82.0,1617463115,04/03/2021 11:18:35
189,81.0,1617463116,04/03/2021 11:18:36
190,80.0,1617463120,04/03/2021 11:18:40
191,79.0,1617463122,04/03/2021 11:18:42
192,80.0,1617463124,04/03/2021 11:18:44
193,81.0,1617463125,04/03/2021 11:18:45
194,80.0,1617463128,04/03/2021 11:18:48
195,81.0,1617463132,04/03/2021 11:18:52
196,82.0,1617463134,04/03/2021 11:18:54
197,81.0,1617463137,04/03/2021 11:18:57
198,81.0,1617463139,04/03/2021 11:18:59
199,82.0,1617463140,04/03/2021 11:19:00
200,82.0,1617463142,04/03/2021 11:19:02
201,83.0,1617463143,04/03/2021 11:19:03
202,84.0,1617463145,04/03/2021 11:19:05
203,84.0,1617463148,04/03/2021 11:19:08
204,82.0,1617463150,04/03/2021 11:19:10
205,81.0,1617463151,04/03/2021 11:19:11
206,82.0,1617463153,04/03/2021 11:19:13
207,83.0,1617463155,04/03/2021 11:19:15
208,85.0,1617463157,04/03/2021 11:19:17
209,86.0,1617463160,04/03/2021 11:19:20
210,87.0,1617463161,04/03/2021 11:19:21
211,87.0,1617463162,04/03/2021 11:19:22
212,88.0,1617463163,04/03/2021 11:19:23
213,88.0,1617463165,04/03/2021 11:19:25
214,88.0,1617463168,04/03/2021 11:19:28
215,88.0,1617463169,04/03/2021 11:19:29
216,89.0,1617463172,04/03/2021 11:19:32
217,89.0,1617463175,04/03/2021 11:19:35
218,82.0,1617463179,04/03/2021 11:19:39
219,80.0,1617463180,04/03/2021 11:19:40
220,79.0,1617463181,04/03/2021 11:19:41
221,80.0,1617463183,04/03/2021 11:19:43
222,82.0,1617463185,04/03/2021 11:19:45
223,81.0,1617463186,04/03/2021 11:19:46
224,83.0,1617463191,04/03/2021 11:19:51
225,83.0,1617463191,04/03/2021 11:19:51
226,85.0,1617463194,04/03/2021 11:19:54
227,86.0,1617463196,04/03/2021 11:19:56
228,86.0,1617463197,04/03/2021 11:19:57
229,86.0,1617463198,04/03/2021 11:19:58
230,81.0,1617463200,04/03/2021 11:20:00
231,81.0,1617463204,04/03/2021 11:20:04
232,81.0,1617463206,04/03/2021 11:20:06
233,80.0,1617463207,04/03/2021 11:20:07
234,80.0,1617463208,04/03/2021 11:20:08
235,81.0,1617463209,04/03/2021 11:20:09
236,81.0,1617463210,04/03/2021 11:20:10
237,82.0,1617463215,04/03/2021 11:20:15
238,82.0,1617463216,04/03/2021 11:20:16
239,82.0,1617463219,04/03/2021 11:20:19
240,82.0,1617463220,04/03/2021 11:20:20
241,82.0,1617463221,04/03/2021 11:20:21
242,81.0,1617463226,04/03/2021 11:20:26
243,82.0,1617463226,04/03/2021 11:20:26
244,81.0,1617463227,04/03/2021 11:20:27
245,85.0,1617463241,04/03/2021 11:20:41
246,84.0,1617463242,04/03/2021 11:20:42
247,83.0,1617463248,04/03/2021 11:20:48
248,82.0,1617463248,04/03/2021 11:20:48
249,83.0,1617463250,04/03/2021 11:20:50
250,83.0,1617463251,04/03/2021 11:20:51
251,83.0,1617463257,04/03/2021 11:20:57
252,84.0,1617463259,04/03/2021 11:20:59
253,84.0,1617463260,04/03/2021 11:21:00
254,85.0,1617463261,04/03/2021 11:21:01
255,86.0,1617463266,04/03/2021 11:21:06
256,90.0,1617463273,04/03/2021 11:21:13
257,90.0,1617463276,04/03/2021 11:21:16
258,91.0,1617463291,04/03/2021 11:21:31
259,75.0,1617463336,04/03/2021 11:22:16
260,75.0,1617463337,04/03/2021 11:22:17
261,84.0,1617463445,04/03/2021 11:24:05
262,79.0,1617463451,04/03/2021 11:24:11
263,78.0,1617463452,04/03/2021 11:24:12
264,77.0,1617463454,04/03/2021 11:24:14
265,77.0,1617463455,04/03/2021 11:24:15
266,80.0,1617463520,04/03/2021 11:25:20
267,78.0,1617463551,04/03/2021 11:25:51
268,78.0,1617463561,04/03/2021 11:26:01
269,78.0,1617463563,04/03/2021 11:26:03
270,84.0,1617463606,04/03/2021 11:26:46
271,85.0,1617463606,04/03/2021 11:26:46
272,85.0,1617463608,04/03/2021 11:26:48
273,85.0,1617463614,04/03/2021 11:26:54
274,86.0,1617463616,04/03/2021 11:26:56
275,87.0,1617463617,04/03/2021 11:26:57
276,88.0,1617463640,04/03/2021 11:27:20
277,93.0,1617463648,04/03/2021 11:27:28
278,94.0,1617463648,04/03/2021 11:27:28
279,102.0,1617463665,04/03/2021 11:27:45
280,102.0,1617463665,04/03/2021 11:27:45
281,104.0,1617463673,04/03/2021 11:27:53
282,106.0,1617463675,04/03/2021 11:27:55
283,106.0,1617463676,04/03/2021 11:27:56
284,108.0,1617463682,04/03/2021 11:28:02
285,95.0,1617463702,04/03/2021 11:28:22
286,94.0,1617463702,04/03/2021 11:28:22
287,96.0,1617463705,04/03/2021 11:28:25
288,97.0,1617463707,04/03/2021 11:28:27
289,99.0,1617463738,04/03/2021 11:28:58
290,98.0,1617463740,04/03/2021 11:29:00
291,88.0,1617463826,04/03/2021 11:30:26
292,89.0,1617463851,04/03/2021 11:30:51
293,89.0,1617463852,04/03/2021 11:30:52
294,89.0,1617463858,04/03/2021 11:30:58
295,89.0,1617463858,04/03/2021 11:30:58
296,89.0,1617463859,04/03/2021 11:30:59
297,92.0,1617463873,04/03/2021 11:31:13
298,93.0,1617463874,04/03/2021 11:31:14
299,95.0,1617463888,04/03/2021 11:31:28
300,95.0,1617463888,04/03/2021 11:31:28
301,91.0,1617463918,04/03/2021 11:31:58
302,92.0,1617463919,04/03/2021 11:31:59
303,91.0,1617463920,04/03/2021 11:32:00
304,98.0,1617463958,04/03/2021 11:32:38
305,99.0,1617463959,04/03/2021 11:32:39
306,100.0,1617463961,04/03/2021 11:32:41
307,103.0,1617463963,04/03/2021 11:32:43
308,104.0,1617463964,04/03/2021 11:32:44
309,104.0,1617463978,04/03/2021 11:32:58
310,108.0,1617463990,04/03/2021 11:33:10
311,108.0,1617463990,04/03/2021 11:33:10
312,119.0,1617464011,04/03/2021 11:33:31
313,120.0,1617464015,04/03/2021 11:33:35
314,120.0,1617464016,04/03/2021 11:33:36
315,131.0,1617464038,04/03/2021 11:33:58
316,131.0,1617464039,04/03/2021 11:33:59
317,93.0,1617464098,04/03/2021 11:34:58
318,93.0,1617464099,04/03/2021 11:34:59
319,95.0,1617464142,04/03/2021 11:35:42
320,94.0,1617464142,04/03/2021 11:35:42
321,94.0,1617464144,04/03/2021 11:35:44
322,93.0,1617464146,04/03/2021 11:35:46
323,93.0,1617464148,04/03/2021 11:35:48
324,93.0,1617464153,04/03/2021 11:35:53
325,91.0,1617464158,04/03/2021 11:35:58
326,91.0,1617464161,04/03/2021 11:36:01
327,91.0,1617464162,04/03/2021 11:36:02
328,108.0,1617464209,04/03/2021 11:36:49
329,109.0,1617464211,04/03/2021 11:36:51
330,110.0,1617464218,04/03/2021 11:36:58
331,110.0,1617464219,04/03/2021 11:36:59
332,107.0,1617464248,04/03/2021 11:37:28
333,91.0,1617464248,04/03/2021 11:37:28
334,72.0,1617464278,04/03/2021 11:37:58
335,82.0,1617464338,04/03/2021 11:38:58
336,77.0,1617464339,04/03/2021 11:38:59
337,76.0,1617464339,04/03/2021 11:38:59
338,74.0,1617464398,04/03/2021 11:39:58
339,73.0,1617464453,04/03/2021 11:40:53
340,72.0,1617464454,04/03/2021 11:40:54
341,70.0,1617464458,04/03/2021 11:40:58
342,68.0,1617464473,04/03/2021 11:41:13
343,71.0,1617464488,04/03/2021 11:41:28
344,75.0,1617464518,04/03/2021 11:41:58
345,73.0,1617464578,04/03/2021 11:42:58
346,72.0,1617464578,04/03/2021 11:42:58
347,73.0,1617464638,04/03/2021 11:43:58
348,72.0,1617464638,04/03/2021 11:43:58
349,72.0,1617464657,04/03/2021 11:44:17
350,74.0,1617464660,04/03/2021 11:44:20
351,72.0,1617464698,04/03/2021 11:44:58
352,75.0,1617464753,04/03/2021 11:45:53
353,75.0,1617464762,04/03/2021 11:46:02
354,75.0,1617464763,04/03/2021 11:46:03
355,74.0,1617464774,04/03/2021 11:46:14
356,78.0,1617464848,04/03/2021 11:47:28
357,77.0,1617464848,04/03/2021 11:47:28
358,77.0,1617464849,04/03/2021 11:47:29
359,72.0,1617464927,04/03/2021 11:48:47
360,71.0,1617464929,04/03/2021 11:48:49
361,71.0,1617464941,04/03/2021 11:49:01
362,71.0,1617465040,04/03/2021 11:50:40
363,71.0,1617465058,04/03/2021 11:50:58
364,72.0,1617465059,04/03/2021 11:50:59
365,78.0,1617465073,04/03/2021 11:51:13
366,81.0,1617465088,04/03/2021 11:51:28
367,81.0,1617465092,04/03/2021 11:51:32
368,81.0,1617465092,04/03/2021 11:51:32
369,80.0,1617465093,04/03/2021 11:51:33
370,76.0,1617465165,04/03/2021 11:52:45
371,77.0,1617465276,04/03/2021 11:54:36
372,77.0,1617465353,04/03/2021 11:55:53
373,76.0,1617465353,04/03/2021 11:55:53
374,80.0,1617465448,04/03/2021 11:57:28
375,81.0,1617465448,04/03/2021 11:57:28
376,82.0,1617465449,04/03/2021 11:57:29
377,77.0,1617465477,04/03/2021 11:57:57
378,77.0,1617465479,04/03/2021 11:57:59
379,78.0,1617465480,04/03/2021 11:58:00
380,78.0,1617465604,04/03/2021 12:00:04
381,77.0,1617465605,04/03/2021 12:00:05
382,77.0,1617465606,04/03/2021 12:00:06
383,78.0,1617465619,04/03/2021 12:00:19
384,78.0,1617465621,04/03/2021 12:00:21
385,78.0,1617465622,04/03/2021 12:00:22
386,80.0,1617465634,04/03/2021 12:00:34
387,83.0,1617465635,04/03/2021 12:00:35
388,78.0,1617465653,04/03/2021 12:00:53
389,78.0,1617465653,04/03/2021 12:00:53
390,77.0,1617465658,04/03/2021 12:00:58
391,77.0,1617465660,04/03/2021 12:01:00
392,76.0,1617465689,04/03/2021 12:01:29
393,76.0,1617465689,04/03/2021 12:01:29
394,73.0,1617465755,04/03/2021 12:02:35
395,74.0,1617465755,04/03/2021 12:02:35
396,73.0,1617465758,04/03/2021 12:02:38
397,72.0,1617465759,04/03/2021 12:02:39
398,75.0,1617465803,04/03/2021 12:03:23
399,76.0,1617465882,04/03/2021 12:04:42
400,76.0,1617465952,04/03/2021 12:05:52
401,77.0,1617465955,04/03/2021 12:05:55
402,77.0,1617465960,04/03/2021 12:06:00
403,85.0,1617466018,04/03/2021 12:06:58
404,86.0,1617466018,04/03/2021 12:06:58
405,86.0,1617466018,04/03/2021 12:06:58
406,101.0,1617466048,04/03/2021 12:07:28
407,102.0,1617466048,04/03/2021 12:07:28
408,103.0,1617466049,04/03/2021 12:07:29
409,103.0,1617466078,04/03/2021 12:07:58
410,102.0,1617466079,04/03/2021 12:07:59
411,83.0,1617466243,04/03/2021 12:10:43
412,84.0,1617466245,04/03/2021 12:10:45
413,84.0,1617466246,04/03/2021 12:10:46
414,88.0,1617466253,04/03/2021 12:10:53
415,86.0,1617466258,04/03/2021 12:10:58
416,85.0,1617466259,04/03/2021 12:10:59
417,77.0,1617466273,04/03/2021 12:11:13
418,78.0,1617466288,04/03/2021 12:11:28
419,78.0,1617466306,04/03/2021 12:11:46
420,78.0,1617466312,04/03/2021 12:11:52
421,78.0,1617466318,04/03/2021 12:11:58
422,79.0,1617466318,04/03/2021 12:11:58
423,80.0,1617466319,04/03/2021 12:11:59
424,89.0,1617466334,04/03/2021 12:12:14
425,92.0,1617466357,04/03/2021 12:12:37
426,94.0,1617466360,04/03/2021 12:12:40
427,95.0,1617466361,04/03/2021 12:12:41
428,96.0,1617466361,04/03/2021 12:12:41
429,98.0,1617466378,04/03/2021 12:12:58
430,98.0,1617466378,04/03/2021 12:12:58
431,94.0,1617466438,04/03/2021 12:13:58
432,94.0,1617466438,04/03/2021 12:13:58
433,96.0,1617466443,04/03/2021 12:14:03
434,94.0,1617466498,04/03/2021 12:14:58
435,94.0,1617466498,04/03/2021 12:14:58
436,93.0,1617466504,04/03/2021 12:15:04
437,92.0,1617466553,04/03/2021 12:15:53
438,91.0,1617466558,04/03/2021 12:15:58
439,84.0,1617466581,04/03/2021 12:16:21
440,83.0,1617466586,04/03/2021 12:16:26
441,81.0,1617466593,04/03/2021 12:16:33
442,81.0,1617466594,04/03/2021 12:16:34
443,83.0,1617466608,04/03/2021 12:16:48
444,82.0,1617466608,04/03/2021 12:16:48
445,82.0,1617466609,04/03/2021 12:16:49
446,82.0,1617466610,04/03/2021 12:16:50
447,82.0,1617466611,04/03/2021 12:16:51
448,88.0,1617466618,04/03/2021 12:16:58
449,90.0,1617466632,04/03/2021 12:17:12
450,99.0,1617466632,04/03/2021 12:17:12
451,101.0,1617466632,04/03/2021 12:17:12
452,103.0,1617466634,04/03/2021 12:17:14
453,104.0,1617466635,04/03/2021 12:17:15
454,105.0,1617466639,04/03/2021 12:17:19
455,107.0,1617466640,04/03/2021 12:17:20
456,106.0,1617466641,04/03/2021 12:17:21
457,106.0,1617466642,04/03/2021 12:17:22
458,106.0,1617466643,04/03/2021 12:17:23
459,106.0,1617466648,04/03/2021 12:17:28
460,106.0,1617466649,04/03/2021 12:17:29
461,107.0,1617466652,04/03/2021 12:17:32
462,106.0,1617466653,04/03/2021 12:17:33
463,105.0,1617466655,04/03/2021 12:17:35
464,106.0,1617466658,04/03/2021 12:17:38
465,106.0,1617466660,04/03/2021 12:17:40
466,109.0,1617466678,04/03/2021 12:17:58
467,108.0,1617466678,04/03/2021 12:17:58
468,107.0,1617466679,04/03/2021 12:17:59
469,106.0,1617466681,04/03/2021 12:18:01
470,107.0,1617466682,04/03/2021 12:18:02
471,98.0,1617466694,04/03/2021 12:18:14
472,98.0,1617466696,04/03/2021 12:18:16
473,98.0,1617466698,04/03/2021 12:18:18
474,87.0,1617466715,04/03/2021 12:18:35
475,88.0,1617466715,04/03/2021 12:18:35
476,88.0,1617466718,04/03/2021 12:18:38
477,88.0,1617466719,04/03/2021 12:18:39
478,87.0,1617466722,04/03/2021 12:18:42
479,87.0,1617466724,04/03/2021 12:18:44
480,87.0,1617466725,04/03/2021 12:18:45
481,84.0,1617466732,04/03/2021 12:18:52
482,84.0,1617466736,04/03/2021 12:18:56
483,85.0,1617466737,04/03/2021 12:18:57
484,84.0,1617466739,04/03/2021 12:18:59
485,84.0,1617466740,04/03/2021 12:19:00
486,85.0,1617466741,04/03/2021 12:19:01
487,85.0,1617466746,04/03/2021 12:19:06
488,93.0,1617466781,04/03/2021 12:19:41
489,87.0,1617466853,04/03/2021 12:20:53
490,87.0,1617466858,04/03/2021 12:20:58
491,90.0,1617466858,04/03/2021 12:20:58
492,91.0,1617466861,04/03/2021 12:21:01
493,92.0,1617466863,04/03/2021 12:21:03
494,91.0,1617466868,04/03/2021 12:21:08
495,90.0,1617466873,04/03/2021 12:21:13
496,92.0,1617466880,04/03/2021 12:21:20
497,92.0,1617466880,04/03/2021 12:21:20
498,81.0,1617466918,04/03/2021 12:21:58
499,92.0,1617466950,04/03/2021 12:22:30
500,94.0,1617466968,04/03/2021 12:22:48
501,97.0,1617466978,04/03/2021 12:22:58
502,98.0,1617466979,04/03/2021 12:22:59
503,81.0,1617467034,04/03/2021 12:23:54
504,83.0,1617467045,04/03/2021 12:24:05
505,82.0,1617467045,04/03/2021 12:24:05
506,82.0,1617467046,04/03/2021 12:24:06
507,84.0,1617467047,04/03/2021 12:24:07
508,86.0,1617467048,04/03/2021 12:24:08
509,88.0,1617467050,04/03/2021 12:24:10
510,90.0,1617467066,04/03/2021 12:24:26
511,78.0,1617467098,04/03/2021 12:24:58
512,70.0,1617467153,04/03/2021 12:25:53
513,70.0,1617467158,04/03/2021 12:25:58
514,78.0,1617467218,04/03/2021 12:26:58
515,79.0,1617467219,04/03/2021 12:26:59
516,78.0,1617467278,04/03/2021 12:27:58
517,73.0,1617467338,04/03/2021 12:28:58
518,80.0,1617467398,04/03/2021 12:29:58
519,76.0,1617467417,04/03/2021 12:30:17
520,76.0,1617467418,04/03/2021 12:30:18
521,74.0,1617467454,04/03/2021 12:30:54
522,77.0,1617467455,04/03/2021 12:30:55
523,78.0,1617467458,04/03/2021 12:30:58
524,78.0,1617467458,04/03/2021 12:30:58
525,78.0,1617467473,04/03/2021 12:31:13
526,76.0,1617467473,04/03/2021 12:31:13
527,74.0,1617467489,04/03/2021 12:31:29
528,73.0,1617467489,04/03/2021 12:31:29
529,74.0,1617467518,04/03/2021 12:31:58
530,74.0,1617467518,04/03/2021 12:31:58
531,74.0,1617467519,04/03/2021 12:31:59
532,77.0,1617467578,04/03/2021 12:32:58
533,77.0,1617467578,04/03/2021 12:32:58
534,78.0,1617467639,04/03/2021 12:33:59
535,73.0,1617467668,04/03/2021 12:34:28
536,69.0,1617467698,04/03/2021 12:34:58
537,70.0,1617467698,04/03/2021 12:34:58
538,79.0,1617467755,04/03/2021 12:35:55
539,80.0,1617467756,04/03/2021 12:35:56
540,81.0,1617467756,04/03/2021 12:35:56
541,77.0,1617467848,04/03/2021 12:37:28
542,78.0,1617467852,04/03/2021 12:37:32
543,79.0,1617467978,04/03/2021 12:39:38
544,78.0,1617468054,04/03/2021 12:40:54
545,77.0,1617468058,04/03/2021 12:40:58
546,77.0,1617468073,04/03/2021 12:41:13
547,77.0,1617468089,04/03/2021 12:41:29
548,73.0,1617468305,04/03/2021 12:45:05
549,78.0,1617468354,04/03/2021 12:45:54
550,78.0,1617468354,04/03/2021 12:45:54
551,77.0,1617468355,04/03/2021 12:45:55
552,73.0,1617468447,04/03/2021 12:47:27
553,70.0,1617468487,04/03/2021 12:48:07
554,71.0,1617468659,04/03/2021 12:50:59
555,68.0,1617468673,04/03/2021 12:51:13
556,66.0,1617468689,04/03/2021 12:51:29
557,73.0,1617468788,04/03/2021 12:53:08
558,72.0,1617468788,04/03/2021 12:53:08
559,73.0,1617468792,04/03/2021 12:53:12
560,72.0,1617468879,04/03/2021 12:54:39
561,71.0,1617468882,04/03/2021 12:54:42
562,71.0,1617468957,04/03/2021 12:55:57
563,62.0,1617469095,04/03/2021 12:58:15
564,62.0,1617469096,04/03/2021 12:58:16
565,62.0,1617469097,04/03/2021 12:58:17
566,63.0,1617469103,04/03/2021 12:58:23
567,63.0,1617469104,04/03/2021 12:58:24
568,65.0,1617469107,04/03/2021 12:58:27
569,66.0,1617469108,04/03/2021 12:58:28
570,67.0,1617469111,04/03/2021 12:58:31
571,68.0,1617469115,04/03/2021 12:58:35
572,67.0,1617469115,04/03/2021 12:58:35
573,67.0,1617469116,04/03/2021 12:58:36
574,67.0,1617469117,04/03/2021 12:58:37
575,71.0,1617469124,04/03/2021 12:58:44
576,72.0,1617469125,04/03/2021 12:58:45
577,73.0,1617469138,04/03/2021 12:58:58
578,73.0,1617469141,04/03/2021 12:59:01
579,73.0,1617469141,04/03/2021 12:59:01
580,75.0,1617469144,04/03/2021 12:59:04
581,82.0,1617469198,04/03/2021 12:59:58
582,82.0,1617469199,04/03/2021 12:59:59
